Establishment_ID,Region,Size_Category,Screener_Employees,ISIC_Rev4_Code,ISIC_Division,Manufacturing_Subsector,Year_Started,Manager_Experience_Years,Survey_Weight_Median,Annual_Sales_2024_UGX,Annual_Sales_2022_UGX,Capacity_Utilization_Pct,Permanent_FT_Employees_2024,Permanent_FT_Employees_2022,Labor_Cost_2024_UGX,Raw_Materials_Cost_2024_UGX,Machinery_Replacement_Value_UGX,Direct_Exports_Pct,Monitors_Performance_Indicators,Introduced_New_Product_Service,Introduced_Improved_Process,Working_Capital_Internal_Pct,Working_Capital_Bank_Pct,Working_Capital_Supplier_Credit_Pct,Purchased_Fixed_Assets,Equipment_Investment_Raw_UGX,Has_Financial_Institution_Loan,Applied_For_Loan_2024,Experienced_Power_Outages,Power_Outages_Per_Month_Raw,Electricity_Obstacle,Access_to_Finance_Obstacle,Workforce_Skills_Obstacle,Informal_Competition_Obstacle,Biggest_Obstacle,Figures_Response_Quality,Establishment_Age_Years,Equipment_Investment_UGX,Power_Outages_Per_Month,Direct_Exporter,Sales_Growth_2022_2024_Pct,Sales_CAGR_2022_2024_Pct,Employment_Growth_2022_2024_Pct,Sales_per_Employee_UGX,Labor_Cost_Pct_of_Sales,Raw_Materials_Cost_Pct_of_Sales,Machinery_Value_per_Employee_UGX,Equipment_Investment_Pct_of_Sales,Sales_Outlier_Flag,Firm_Age_Band,Performance_Group
1614120,Eastern,Large,1000,1073,10,Manufacture of food products,1986,24,1.000,1200000000,900000000,20.0,250,180,500000000,200000000,350000000,25.0,Yes,No,No,85.0,0.0,0.0,No,\N,No,No,Yes,6.0,Moderate obstacle,Major obstacle,Moderate obstacle,Moderate obstacle,Tax rates,Are in some case taken from books and in some case estimates,38,0,6,Yes,33.3,15.5,38.9,4800000,41.7,16.7,1400000,0.0,Normal,30+ years,Middle
1614122,Eastern,Small,10,1410,14,Manufacture of wearing apparel,1970,30,55.699,45000000,40000000,70.0,6,5,7200000,6000000,30000000,0.0,Not asked (survey skip: screener employment <20),No,No,100.0,0.0,0.0,No,\N,No,No,Yes,2.0,Very severe obstacle,Moderate obstacle,No obstacle,No obstacle,Electricity,Are taken directly from establishment records,54,0,2,No,12.5,6.1,20.0,7500000,16.0,13.3,5000000,0.0,Normal,30+ years,Middle
1614124,Central,Medium,100,1073,10,Manufacture of food products,2007,20,24.842,3000000000,2000000000,70.0,50,50,700000000,400000000,5000000000,0.0,Yes,No,No,80.0,0.0,0.0,No,\N,No,No,No,\N,Moderate obstacle,Minor obstacle,Minor obstacle,Moderate obstacle,Corruption,Are taken directly from establishment records,17,0,0,No,50.0,22.5,0.0,60000000,23.3,13.3,100000000,0.0,Normal,10-19 years,Middle
1614125,Central,Large,110,2100,21,Manufacture of basic pharmaceutical products,1981,44,1.000,13000000000,13000000000,90.0,57,44,1500000000,6000000000,12000000000,1.0,Yes,No,No,100.0,0.0,0.0,Yes,600000000,Yes,No,Yes,10.0,Major obstacle,Minor obstacle,Major obstacle,Major obstacle,Access to finance,Are taken directly from establishment records,43,600000000,10,Yes,0.0,0.0,29.5,228070175,11.5,46.2,210526316,4.6,Review,30+ years,Low Growth
1614130,Central,Small,7,3100,31,Manufacture of furniture,2020,15,143.618,24000000,17000000,70.0,5,4,4100000,12000000,11000000,0.0,Not asked (survey skip: screener employment <20),Yes,Yes,60.0,10.0,30.0,Yes,500000,Yes,No,Yes,6.0,Minor obstacle,No obstacle,No obstacle,Minor obstacle,Tax rates,Are in some case taken from books and in some case estimates,4,500000,6,No,41.2,18.8,25.0,4800000,17.1,50.0,2200000,2.1,Normal,<10 years,Middle
1614131,Central,Small,16,1811,18,Printing and reproduction of recorded media,1985,30,157.867,100000000,80000000,20.0,16,16,5000000,20000000,350000000,0.0,Not asked (survey skip: screener employment <20),No,No,80.0,0.0,0.0,No,\N,No,No,No,\N,Minor obstacle,No obstacle,No obstacle,No obstacle,Electricity,Are in some case taken from books and in some case estimates,39,0,0,No,25.0,11.8,0.0,6250000,5.0,20.0,21875000,0.0,Normal,30+ years,Middle
1614136,Central,Large,1850,2410,24,Manufacture of basic metals,1983,42,1.000,6000000000000,4000000000000,92.0,2000,1800,1000000000000,3000000000000,1000000000000,35.0,Yes,Yes,Yes,35.0,30.0,25.0,Yes,1000000000000,Yes,Yes,Yes,2.0,Moderate obstacle,Moderate obstacle,Minor obstacle,Moderate obstacle,Tax rates,Are taken directly from establishment records,41,1000000000000,2,Yes,50.0,22.5,11.1,3000000000,16.7,50.0,500000000,16.7,Review,30+ years,Middle
1614138,Eastern,Small,9,1079,10,Manufacture of food products,1992,30,1.789,38000000,6000000,100.0,9,9,10000000,\N,15000000,0.0,Not asked (survey skip: screener employment <20),No,No,40.0,0.0,0.0,No,\N,No,No,Yes,8.0,Very severe obstacle,Moderate obstacle,No obstacle,Very severe obstacle,Access to finance,Are in some case taken from books and in some case estimates,32,0,8,No,533.3,151.7,0.0,4222222,26.3,\N,1666667,0.0,Normal,30+ years,High Growth
1614139,Western,Small,5,3100,31,Manufacture of furniture,2002,24,68.626,40000000,22000000,4.0,5,5,12000000,16000000,24200000,0.0,Not asked (survey skip: screener employment <20),No,No,20.0,60.0,0.0,Yes,1000000,Yes,No,Yes,5.0,Major obstacle,Very severe obstacle,No obstacle,Minor obstacle,Access to finance,Are estimates computed with some precision,22,1000000,5,No,81.8,34.8,0.0,8000000,30.0,40.0,4840000,2.5,Normal,20-29 years,High Growth
1614143,Central,Small,6,2599,25,Manufacture of fabricated metal products,1987,35,157.867,10000000,10000000,100.0,6,6,6000000,3000000,7000000,0.0,Not asked (survey skip: screener employment <20),No,No,80.0,10.0,0.0,No,\N,No,Yes,Yes,2.0,Minor obstacle,Major obstacle,No obstacle,Minor obstacle,Access to finance,Are in some case taken from books and in some case estimates,37,0,2,No,0.0,0.0,0.0,1666667,60.0,30.0,1166667,0.0,Normal,30+ years,Low Growth
